"eBird中文俗名
(紅字表示系統尚無中文俗名)",eBird英文俗名,eBird學名,"現行臺灣鳥類名錄中文名
(與eBird中文俗名相異者以紅字標示)","現行臺灣鳥類名錄學名
(與eBird學名相異者以紅字標示)","2025
全球紅皮書等級",eBird英文俗名簡碼,eBird學名簡碼,"eBird網頁代碼
species code",分類排序編號,eBird外來種狀態,"eBird中文俗名
(香港)","eBird中文俗名
(簡體)",其他中文俗名,PhotoLink,Credit,MLCode
太平洋金斑鴴,Pacific Golden-Plover,Pluvialis fulva,太平洋金斑鴴,Pluvialis fulva,LC,PGPL PAGP,PLFU,pagplo,5816,,太平洋金斑鴴,金斑鸻,金斑鴴,,,
環頸鴴,Common Ringed Plover,Charadrius hiaticula,環頸鴴,Charadrius hiaticula,LC,RIPL CRPL,CHHI,corplo,5831,,劍鴴,剑鸻,北環頸鴴,,,
小環頸鴴,Little Ringed Plover,Thinornis dubius,小環頸鴴,Thinornis dubius,LC,LRPL,THDU,lirplo,5848,,金眶鴴,金眶鸻,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/97459791/1200,©Yu-Lian Shen,ML97459791
劍鴴,Long-billed Plover,Thinornis placidus,劍鴴,Thinornis placidus,LC,LBPL,THPL,lobplo1,5854,,長嘴鴴,长嘴剑鸻,長嘴劍鴴,,,
小辮鴴,Northern Lapwing,Vanellus vanellus,小辮鴴,Vanellus vanellus,NT,NOLA,VAVA,norlap,5856,,鳳頭麥雞,凤头麦鸡,,,,
跳鴴,Gray-headed Lapwing,Vanellus cinereus,跳鴴,Vanellus cinereus,LC,GHLA,VACI,gyhlap1,5882,,灰頭麥雞,灰头麦鸡,,,,
東方紅胸鴴,Oriental Plover,Anarhynchus veredus,東方紅胸鴴,Anarhynchus veredus,LC,ORPL,ANVE,oriplo1,5907,,東方鴴,东方鸻,,,,
蒙古鴴,Siberian Sand-Plover,Anarhynchus mongolus,蒙古鴴,Anarhynchus mongolus,EN,LESA SSPL SISP,ANMO,lessap2,5908,,蒙古沙鴴,蒙古沙鸻,,,,
青藏鴴,Tibetan Sand-Plover,Anarhynchus atrifrons,青藏鴴,Anarhynchus atrifrons,LC,TSPL LESA TISP,ANAT,lessap1,5911,,青藏沙鴴,青藏沙鸻,,,,
鐵嘴鴴,Greater Sand-Plover,Anarhynchus leschenaultii,鐵嘴鴴,Anarhynchus leschenaultii,LC,GRSA GRSP GSPL GSAP,ANLE,grsplo,5916,,鐵嘴沙鴴,铁嘴沙鸻,,,,
東方環頸鴴,Kentish Plover,Anarhynchus alexandrinus,東方環頸鴴,Anarhynchus alexandrinus,LC,KEPL,ANAL,kenplo1,5954,,環頸鴴,环颈鸻,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/519223761/1200,©Meng-Chieh (孟婕) FENG (馮),ML519223761
白臉鴴,White-faced Plover,Anarhynchus dealbatus,白臉鴴,Anarhynchus dealbatus,LC,WFPL,ANDE,whfplo2,5960,,白臉鴴,白脸鸻,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/248413701/1200,©Ting-Wei (廷維) HUNG (洪),ML248413701
彩鷸,Greater Painted-Snipe,Rostratula benghalensis,彩鷸,Rostratula benghalensis,LC,GPSN GRPS,ROBE,grpsni1,5983,,彩鷸,彩鹬,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/622821569/1200,©Cheng-Ru Tsai,ML622821569
水雉,Pheasant-tailed Jacana,Hydrophasianus chirurgus,水雉,Hydrophasianus chirurgus,LC,PTJA,HYCH,phtjac1,5987,,水雉,水雉,雉尾水雉,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/603097031/1200,©Kun-Hui Lin,ML603097031
美洲中杓鷸,Hudsonian Whimbrel,Numenius hudsonicus,美洲中杓鷸,Numenius hudsonicus,NT,HUWH WHIM,NUHU,whimbr3,6011,,,,,,,
中杓鷸,Eurasian Whimbrel,Numenius phaeopus,歐亞中杓鷸,Numenius phaeopus,LC,EUWH WHIM,NUPH,whimbr5,6012,,中杓鷸,中杓鹬,,,,
小杓鷸,Little Curlew,Numenius minutus,小杓鷸,Numenius minutus,LC,LIWH LICU,NUMI,litcur,6019,,小杓鷸,小杓鹬,,,,
黦鷸,Far Eastern Curlew,Numenius madagascariensis,黦鷸,Numenius madagascariensis,EN,EACU FECU,NUMA,faecur,6024,,紅腰杓鷸,大杓鹬,,,,
大杓鷸,Eurasian Curlew,Numenius arquata,大杓鷸,Numenius arquata,NT,EUCU,NUAR,eurcur,6026,,白腰杓鷸,白腰杓鹬,,,,
斑尾鷸,Bar-tailed Godwit,Limosa lapponica,斑尾鷸,Limosa lapponica,NT,BTGO,LILA,batgod,6033,,斑尾塍鷸,斑尾塍鹬,,,,
黑尾鷸,Black-tailed Godwit,Limosa limosa,黑尾鷸,Limosa limosa,NT,BTGO BLTG,LILI,bktgod,6042,,黑尾塍鷸,黑尾塍鹬,,,,
半蹼鷸,Asian Dowitcher,Limnodromus semipalmatus,半蹼鷸,Limnodromus semipalmatus,NT,ASDO,LISE,asidow1,6056,,半蹼鷸,半蹼鹬,,,,
短嘴半蹼鷸,Short-billed Dowitcher,Limnodromus griseus,短嘴半蹼鷸,Limnodromus griseus,VU,SBDO,LIGR,shbdow,6057,,短嘴半蹼鷸,短嘴半蹼鹬,,,,
長嘴半蹼鷸,Long-billed Dowitcher,Limnodromus scolopaceus,長嘴半蹼鷸,Limnodromus scolopaceus,NT,LBDO,LISC,lobdow,6061,,長嘴鷸,长嘴半蹼鹬 (长嘴鹬),,,,
小鷸,Jack Snipe,Lymnocryptes minimus,小鷸,Lymnocryptes minimus,LC,JASN,LYMI,jacsni,6063,,姬鷸,姬鹬,,,,
山鷸,Eurasian Woodcock,Scolopax rusticola,山鷸,Scolopax rusticola,LC,EUWO,SCRU,eurwoo,6065,,丘鷸,丘鹬,丘鷸,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/121208021/1200,©Ko Cheng,ML121208021
孤田鷸,Solitary Snipe,Gallinago solitaria,孤田鷸,Gallinago solitaria,LC,SOSN,GASO,solsni1,6086,,孤沙錐,孤沙锥,,,,
中地鷸,Swinhoe's Snipe,Gallinago megala,中地鷸,Gallinago megala,LC,SWSN,GAME,swisni1,6091,,大沙錐,大沙锥,,,,
針尾鷸,Pin-tailed Snipe,Gallinago stenura,針尾鷸,Gallinago stenura,LC,PISN PTSN,GAST,pitsni,6092,,針尾沙錐,针尾沙锥,,,,
大地鷸,Latham's Snipe,Gallinago hardwickii,大地鷸,Gallinago hardwickii,NT,JASN LASN,GAHA,latsni1,6094,,澳南沙锥,拉氏沙锥 (澳南沙锥),,,,
田鷸,Common Snipe,Gallinago gallinago,田鷸,Gallinago gallinago,LC,COSN,GAGA,comsni,6099,,扇尾沙錐,扇尾沙锥,,,,
灰瓣足鷸,Red Phalarope,Phalaropus fulicarius,灰瓣足鷸,Phalaropus fulicarius,LC,GRPH REPH,PHFU,redpha1,6120,,灰瓣蹼鷸,灰瓣蹼鹬,,,,
紅領瓣足鷸,Red-necked Phalarope,Phalaropus lobatus,紅領瓣足鷸,Phalaropus lobatus,LC,RNPH,PHLO,renpha,6121,,紅頸瓣蹼鷸,红颈瓣蹼鹬,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/331276341/1200,©Jhih-Wei (志偉) TSAI (蔡),ML331276341
反嘴鷸,Terek Sandpiper,Xenus cinereus,反嘴鷸,Xenus cinereus,LC,TESA,XECI,tersan,6124,,翹嘴鷸,翘嘴鹬,,,,
磯鷸,Common Sandpiper,Actitis hypoleucos,磯鷸,Actitis hypoleucos,LC,COSA,ACHY,comsan,6125,,磯鷸,矶鹬,矾鷸 礬鷸,,,
白腰草鷸,Green Sandpiper,Tringa ochropus,白腰草鷸,Tringa ochropus,LC,GRSA,TROC,grnsan,6128,,白腰草鷸,白腰草鹬,,,,
黃足鷸,Gray-tailed Tattler,Tringa brevipes,黃足鷸,Tringa brevipes,LC,GTTA,TRBR,gyttat1,6133,,灰尾漂鷸,灰尾漂鹬,灰尾鷸,,,
美洲黃足鷸,Wandering Tattler,Tringa incana,美洲黃足鷸,Tringa incana,LC,WATA,TRIN,wantat1,6134,,漂鷸,漂鹬,灰鷸,,,
小青足鷸,Marsh Sandpiper,Tringa stagnatilis,小青足鷸,Tringa stagnatilis,LC,MASA,TRST,marsan,6136,,澤鷸,泽鹬,,,,
鷹斑鷸,Wood Sandpiper,Tringa glareola,鷹斑鷸,Tringa glareola,LC,WOSA,TRGL,woosan,6137,,林鷸,林鹬,,,,
赤足鷸,Common Redshank,Tringa totanus,赤足鷸,Tringa totanus,LC,CORE CREH,TRTO,comred1,6138,,紅腳鷸,红脚鹬,,,,
小黃腳鷸,Lesser Yellowlegs,Tringa flavipes,小黃腳鷸,Tringa flavipes,VU,LEYE,TRFL,lesyel,6145,,小黃腳鷸,小黄脚鹬,,,,
諾氏鷸,Nordmann's Greenshank,Tringa guttifer,諾氏鷸,Tringa guttifer,EN,NOGR SPGR,TRGU,norgre1,6146,,小青腳鷸,小青脚鹬,諾曼氏青足鷸,,,
鶴鷸,Spotted Redshank,Tringa erythropus,鶴鷸,Tringa erythropus,LC,SPRE,TRER,spored,6150,,鶴鷸,鹤鹬,,,,
青足鷸,Common Greenshank,Tringa nebularia,青足鷸,Tringa nebularia,LC,COGR COMG,TRNE,comgre,6152,,青腳鷸,青脚鹬,,,,
翻石鷸,Ruddy Turnstone,Arenaria interpres,翻石鷸,Arenaria interpres,NT,RUTU,ARIN,rudtur,6161,,翻石鷸,翻石鹬,,,,
大濱鷸,Great Knot,Calidris tenuirostris,大濱鷸,Calidris tenuirostris,EN,GRKN,CATE,grekno,6165,,大濱鷸,大滨鹬,姥鷸,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/433738981/1200,©Rui-Yang Ho,ML433738981
紅腹濱鷸,Red Knot,Calidris canutus,紅腹濱鷸,Calidris canutus,NT,REKN,CACA,redkno,6166,,紅腹濱鷸,红腹滨鹬,漂鷸,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/634650702/1200,©Rui-Yang Ho,ML634650702
流蘇鷸,Ruff,Calidris pugnax,流蘇鷸,Calidris pugnax,LC,RUFF,CAPU,ruff,6177,,流蘇鷸,流苏鹬,,,,
寬嘴鷸,Broad-billed Sandpiper,Calidris falcinellus,寬嘴鷸,Calidris falcinellus,VU,BBSA BBIS,CAFA,brbsan,6178,,闊嘴鷸,阔嘴鹬,,,,
尖尾濱鷸,Sharp-tailed Sandpiper,Calidris acuminata,尖尾濱鷸,Calidris acuminata,VU,STSA SPTS,CAAC,shtsan,6181,,尖尾濱鷸,尖尾滨鹬,尖尾鷸,,,
彎嘴濱鷸,Curlew Sandpiper,Calidris ferruginea,彎嘴濱鷸,Calidris ferruginea,VU,CUSA,CAFE,cursan,6182,,彎嘴濱鷸,弯嘴滨鹬,滸鷸,,,
高蹺濱鷸,Stilt Sandpiper,Calidris himantopus,高蹺濱鷸,Calidris himantopus,NT,STSA,CAHI,stisan,6183,,高蹺濱鷸,高跷鹬,高蹺鷸,,,
丹氏濱鷸,Temminck's Stint,Calidris temminckii,丹氏濱鷸,Calidris temminckii,LC,TEST,CATE,temsti,6184,,青腳濱鷸,青脚滨鹬,丹氏穉鷸,,,
長趾濱鷸,Long-toed Stint,Calidris subminuta,長趾濱鷸,Calidris subminuta,LC,LTST,CASU,lotsti,6185,,長趾濱鷸,长趾滨鹬,雲雀鷸,,,
紅胸濱鷸,Red-necked Stint,Calidris ruficollis,紅胸濱鷸,Calidris ruficollis,NT,RNST,CARU,rensti,6186,,紅頸濱鷸,红颈滨鹬,穉鷸,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/447431071/1200,©Jhih-Wei (志偉) TSAI (蔡),ML447431071
琵嘴鷸,Spoon-billed Sandpiper,Calidris pygmaea,琵嘴鷸,Calidris pygmaea,CR,SBSA,CAPY,spbsan1,6187,,勺嘴鷸,勺嘴鹬,,,,
黃胸鷸,Buff-breasted Sandpiper,Calidris subruficollis,黃胸鷸,Calidris subruficollis,VU,BBSA,CASU,bubsan,6188,,飾胸鷸,黄胸滨鹬 (饰胸鹬),,,,
三趾濱鷸,Sanderling,Calidris alba,三趾濱鷸,Calidris alba,LC,SAND,CAAL,sander,6189,,三趾濱鷸,三趾滨鹬,三趾鷸,,,
黑腹濱鷸,Dunlin,Calidris alpina,黑腹濱鷸,Calidris alpina,NT,DUNL,CAAL,dunlin,6192,,黑腹濱鷸,黑腹滨鹬,濱鷸,,,
小濱鷸,Little Stint,Calidris minuta,小濱鷸,Calidris minuta,LC,LIST,CAMI,litsti,6219,,小濱鷸,小滨鹬,,,,
美洲尖尾濱鷸,Pectoral Sandpiper,Calidris melanotos,美洲尖尾濱鷸,Calidris melanotos,LC,PESA,CAME,pecsan,6227,,斑胸濱鷸,斑胸滨鹬,美洲尖尾鷸,,,
西濱鷸,Western Sandpiper,Calidris mauri,西濱鷸,Calidris mauri,LC,WESA,CAMA,wessan,6231,,,西方滨鹬,,,,
黃腳三趾鶉,Yellow-legged Buttonquail,Turnix tanki,黃腳三趾鶉,Turnix tanki,LC,YLBU,TUTA,yelbut1,6240,,黃腳三趾鶉,黄脚三趾鹑,,,,
棕三趾鶉,Barred Buttonquail,Turnix suscitator,棕三趾鶉,Turnix suscitator,LC,BABU,TUSU,barbut1,6258,,棕三趾鶉,棕三趾鹑,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/498282251/1200,©Kuan Chieh/貫捷 (Chuck) Hung/洪,ML498282251
林三趾鶉,Small Buttonquail,Turnix sylvaticus,林三趾鶉,Turnix sylvaticus,LC,COBU SMBU COMM,TUSY,smabut2,6279,,林三趾鶉,林三趾鹑,,,,
燕鴴,Oriental Pratincole,Glareola maldivarum,燕鴴,Glareola maldivarum,LC,ORPR,GLMA,oripra,6353,,普通燕鴴,普通燕鸻,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/621597884/1200,©Po-Wei Chi,ML621597884
長尾賊鷗,Long-tailed Jaeger,Stercorarius longicaudus,長尾賊鷗,Stercorarius longicaudus,LC,LTSK LTJA,STLO,lotjae,6358,,長尾賊鷗,长尾贼鸥,,,,
短尾賊鷗,Parasitic Jaeger,Stercorarius parasiticus,短尾賊鷗,Stercorarius parasiticus,LC,ARJA ARSK PAJA,STPA,parjae,6361,,短尾賊鷗,短尾贼鸥,賊鷗,,,
中賊鷗,Pomarine Jaeger,Stercorarius pomarinus,中賊鷗,Stercorarius pomarinus,LC,POSK POJA,STPO,pomjae,6363,,中賊鷗,中贼鸥,,,,
灰賊鷗,South Polar Skua,Stercorarius maccormicki,灰賊鷗,Stercorarius maccormicki,LC,SPSK,STMA,sopsku1,6372,,,南极贼鸥,,,,
崖海鴉,Common Murre,Uria aalge,崖海鴉,Uria aalge,LC,COGU COMU,URAA,commur,6424,,,崖海鸦,,,,
扁嘴海雀,Ancient Murrelet,Synthliboramphus antiquus,扁嘴海雀,Synthliboramphus antiquus,LC,ANMU,SYAN,ancmur,6433,,扁嘴海雀,扁嘴海雀,海雀,,,
冠海雀,Japanese Murrelet,Synthliboramphus wumizusume,冠海雀,Synthliboramphus wumizusume,VU,JAMU,SYWU,japmur1,6436,,冠海雀,冠海雀,,,,
小鷗,Little Gull,Hydrocoloeus minutus,小鷗,Hydrocoloeus minutus,LC,LIGU,HYMI,litgul,6447,,小鷗,小鸥,,,,
楔尾鷗,Ross's Gull,Rhodostethia rosea,楔尾鷗,Rhodostethia rosea,LC,ROGU,RHRO,rosgul,6448,,,,,,,
三趾鷗,Black-legged Kittiwake,Rissa tridactyla,三趾鷗,Rissa tridactyla,VU,BLKI,RITR,bklkit,6449,,三趾鷗,三趾鸥,,,,
叉尾鷗,Sabine's Gull,Xema sabini,叉尾鷗,Xema sabini,LC,SAGU,XESA,sabgul,6455,,叉尾鷗,叉尾鸥,,,,
黑嘴鷗,Saunders's Gull,Saundersilarus saundersi,黑嘴鷗,Saundersilarus saundersi,VU,SAGU,SASA,saugul2,6460,,黑嘴鷗,黑嘴鸥,,,,
細嘴鷗,Slender-billed Gull,Chroicocephalus genei,細嘴鷗,Chroicocephalus genei,LC,SBGU,CHGE,slbgul1,6461,,細嘴鷗,细嘴鸥,,,,
紐澳紅嘴鷗,Silver Gull,Chroicocephalus novaehollandiae,紐澳紅嘴鷗,Chroicocephalus novaehollandiae,LC,SIGU,CHNO,silgul2,6463,暫定種,,澳洲红嘴鸥,,,,
紅嘴鷗,Black-headed Gull,Chroicocephalus ridibundus,紅嘴鷗,Chroicocephalus ridibundus,LC,BHGU,CHRI,bkhgul,6474,,紅嘴鷗,红嘴鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/85116541/1200,©Ting-Wei (廷維) HUNG (洪),ML85116541
棕頭鷗,Brown-headed Gull,Chroicocephalus brunnicephalus,棕頭鷗,Chroicocephalus brunnicephalus,LC,BHGU,CHBR,bnhgul1,6477,,棕頭鷗,棕头鸥,,,,
笑鷗,Laughing Gull,Leucophaeus atricilla,笑鷗,Leucophaeus atricilla,LC,LAGU,LEAT,laugul,6490,,,笑鸥,,,,
弗氏鷗,Franklin's Gull,Leucophaeus pipixcan,弗氏鷗,Leucophaeus pipixcan,LC,FRGU,LEPI,fragul,6494,,弗氏鷗,弗氏鸥,,,,
漁鷗,Pallas's Gull,Ichthyaetus ichthyaetus,漁鷗,Ichthyaetus ichthyaetus,LC,PAGU,ICIC,gbhgul2,6498,,漁鷗,渔鸥,,,,
遺鷗,Relict Gull,Ichthyaetus relictus,遺鷗,Ichthyaetus relictus,VU,REGU,ICRE,relgul2,6499,,遺鷗,遗鸥,,,,
黑尾鷗,Black-tailed Gull,Larus crassirostris,黑尾鷗,Larus crassirostris,LC,BTGU,LACR,bktgul,6510,,黑尾鷗,黑尾鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/51059001/1200,©Jhih-Wei (志偉) TSAI (蔡),ML51059001
歐亞海鷗,Common Gull,Larus canus,歐亞海鷗,Larus canus,LC,MEGU COGU,LACA,mewgul,6513,,海鷗,普通海鸥,,,,
西伯利亞銀鷗,Vega Gull,Larus vegae,西伯利亞銀鷗,Larus vegae,LC,AHGU VEGU,LAVE,veggul1,6541,,織女銀鷗,织女银鸥,,,,
蒙古銀鷗,Mongolian Gull,Larus mongolicus,蒙古銀鷗,Larus mongolicus,LC,MOGU AHGU,LAMO,casgul4,6543,,織女銀鷗 (mongolicus),蒙古银鸥,,,,
北極鷗,Glaucous Gull,Larus hyperboreus,北極鷗,Larus hyperboreus,LC,GLGU,LAHY,glagul,6566,,北極鷗,北极鸥,,,,
小黑背鷗,Lesser Black-backed Gull,Larus fuscus,小黑背鷗,Larus fuscus,LC,LBBG,LAFU,lbbgul,6576,,小黑背鷗,小黑背鸥,,,,
灰背鷗,Slaty-backed Gull,Larus schistisagus,灰背鷗,Larus schistisagus,LC,SBGU SBAG,LASC,slbgul,6602,,灰背鷗,灰背鸥,大黑脊鷗,,,
白燕鷗,Blue-billed White-Tern,Gygis candida,白燕鷗,Gygis candida,LC,WHTE CWTE BBWT,GYCA,whiter4,6627,,,,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/610164159/1200,©Yu-Wei (昱緯) LI (李),ML610164159
玄燕鷗,Brown Noddy,Anous stolidus,玄燕鷗,Anous stolidus,LC,CONO BRNO,ANST,brnnod,6634,,白頂玄燕鷗,白顶玄燕鸥,白頂玄鷗,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/610164159/1200,©Yu-Wei (昱緯) LI (李),ML610164159
黑玄燕鷗,Black Noddy,Anous minutus,黑玄燕鷗,Anous minutus,LC,BLNO,ANMI,blknod,6642,,玄燕鷗,玄燕鸥,,,,
白腰燕鷗,Aleutian Tern,Onychoprion aleuticus,白腰燕鷗,Onychoprion aleuticus,VU,ALTE,ONAL,aleter1,6664,,白腰燕鷗,白腰燕鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/479327011/1200,©Ting-Wei (廷維) HUNG (洪),ML479327011
烏領燕鷗,Sooty Tern,Onychoprion fuscatus,烏領燕鷗,Onychoprion fuscatus,LC,SOTE,ONFU,sooter1,6665,,烏燕鷗,乌燕鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/593689751/1200,©Cheng-Ru Tsai,ML593689751
白眉燕鷗,Bridled Tern,Onychoprion anaethetus,白眉燕鷗,Onychoprion anaethetus,LC,BRTE,ONAN,briter1,6673,,褐翅燕鷗,褐翅燕鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/440388381/1200,©Rui-Yang Ho,ML440388381
小燕鷗,Little Tern,Sternula albifrons,小燕鷗,Sternula albifrons,LC,LITE,STAL,litter1,6682,,白額燕鷗,白额燕鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/440388381/1200,©Rui-Yang Ho,ML440388381
美洲小燕鷗,Least Tern,Sternula antillarum,美洲小燕鷗,Sternula antillarum,LC,LETE,STAN,leater1,6699,,美洲小燕鷗,,,,,
鷗嘴燕鷗,Gull-billed Tern,Gelochelidon nilotica,鷗嘴燕鷗,Gelochelidon nilotica,LC,CGBT GBTE,GENI,gubter2,6710,,鷗嘴噪鷗,鸥嘴噪鸥,,,,
裏海燕鷗,Caspian Tern,Hydroprogne caspia,裏海燕鷗,Hydroprogne caspia,LC,CATE,HYCA,caster1,6718,,紅嘴巨燕鷗,红嘴巨燕鸥,紅嘴巨鷗,,,
黑腹燕鷗,Whiskered Tern,Chlidonias hybrida,黑腹燕鷗,Chlidonias hybrida,LC,WHTE,CHHY,whiter2,6720,,鬚浮鷗,须浮鸥,,,,
黑浮鷗,Black Tern,Chlidonias niger,黑浮鷗,Chlidonias niger,LC,BLTE,CHNI,blkter,6725,,,黑浮鸥,,,,
白翅黑燕鷗,White-winged Tern,Chlidonias leucopterus,白翅黑燕鷗,Chlidonias leucopterus,LC,WWBT WWTE,CHLE,whwter,6728,,白翅浮鷗,白翅浮鸥,,,,
燕鷗,Common Tern,Sterna hirundo,燕鷗,Sterna hirundo,LC,COTE,STHI,comter,6748,,普通燕鷗,普通燕鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/81174881/1200,©Allen Lyu,ML81174881
蒼燕鷗,Black-naped Tern,Sterna sumatrana,蒼燕鷗,Sterna sumatrana,LC,BNTE,STSU,blnter1,6758,,黑枕燕鷗,黑枕燕鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/468208311/1200,©Rui-Yang Ho,ML468208311
紅燕鷗,Roseate Tern,Sterna dougallii,紅燕鷗,Sterna dougallii,LC,ROTE ROST,STDO,roster,6761,,粉紅燕鷗,粉红燕鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/468208311/1200,©Rui-Yang Ho,ML468208311
白嘴端燕鷗,Sandwich Tern,Thalasseus sandvicensis,白嘴端燕鷗,Thalasseus sandvicensis,LC,SATE,THSA,santer1,6775,,白嘴端鳳頭燕鷗,白嘴端凤头燕鸥,,,,
小鳳頭燕鷗,Lesser Crested Tern,Thalasseus bengalensis,小鳳頭燕鷗,Thalasseus bengalensis,LC,LCTE,THBE,lecter2,6783,,小鳳頭燕鷗,小凤头燕鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/456692111/1200,©Allen Lyu,ML456692111
鳳頭燕鷗,Great Crested Tern,Thalasseus bergii,鳳頭燕鷗,Thalasseus bergii,LC,SWTE SWIF CRTE GCTE,THBE,grcter1,6792,,大鳳頭燕鷗,大凤头燕鸥,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/259744391/1200,©David Irving,ML259744391
黑嘴端鳳頭燕鷗,Chinese Crested Tern,Thalasseus bernsteini,黑嘴端鳳頭燕鷗,Thalasseus bernsteini,CR,CCTE,THBE,chcter2,6799,,中華鳳頭燕鷗,中华凤头燕鸥 (黑嘴端凤头燕鸥),,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/259744391/1200,©David Irving,ML259744391
大紅鸛,Greater Flamingo,Phoenicopterus roseus,大紅鸛,Phoenicopterus roseus,LC,GRFL,PHRO,grefla3,6811,暫定種,,大红鹳,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/461551471/1200,©Kun-Hui Lin,ML461551471
小鸊鷉,Little Grebe,Tachybaptus ruficollis,小鸊鷉,Tachybaptus ruficollis,LC,LIGR,TARU,litgre1,6827,,小鸊鷉,小䴙䴘,,https://cdn.download.ams.birds.cornell.edu/api/v2/asset/461551471/1200,©Kun-Hui Lin,ML461551471
角鸊鷉,Horned Grebe,Podiceps auritus,角鸊鷉,Podiceps auritus,VU,SLGR HOGR,POAU,horgre,6866,,角鸊鷉,角䴙䴘,,,,
赤頸鸊鷉,Red-necked Grebe,Podiceps grisegena,赤頸鸊鷉,Podiceps grisegena,LC,RNGR,POGR,rengre,6869,,赤頸鸊鷉,赤颈䴙䴘,,,,
冠鸊鷉,Great Crested Grebe,Podiceps cristatus,冠鸊鷉,Podiceps cristatus,LC,GCGR ACGR,POCR,grcgre1,6872,,鳳頭鸊鷉,凤头䴙䴘,,,,
黑頸鸊鷉,Eared Grebe,Podiceps nigricollis,黑頸鸊鷉,Podiceps nigricollis,LC,BNGR EAGR,PONI,eargre,6876,,黑頸鸊鷉,黑颈䴙䴘,,,,
白尾熱帶鳥,White-tailed Tropicbird,Phaethon lepturus,白尾熱帶鳥,Phaethon lepturus,LC,WTTR,PHLE,whttro,6908,,白尾鸏,白尾鹲,,,,
紅嘴熱帶鳥,Red-billed Tropicbird,Phaethon aethereus,紅嘴熱帶鳥,Phaethon aethereus,LC,RBTR,PHAE,rebtro,6915,,,红嘴鹲,紅嘴鸏,,,
紅尾熱帶鳥,Red-tailed Tropicbird,Phaethon rubricauda,紅尾熱帶鳥,Phaethon rubricauda,LC,RTTR,PHRU,rettro,6919,,紅尾鸏,红尾鹲,,,,
紅喉潛鳥,Red-throated Loon,Gavia stellata,紅喉潛鳥,Gavia stellata,LC,RTDI RTLO,GAST,retloo,6927,,紅喉潛鳥,红喉潜鸟,,,,
黑喉潛鳥,Arctic Loon,Gavia arctica,黑喉潛鳥,Gavia arctica,LC,BTDI BTLO ARLO,GAAR,arcloo,6928,,黑喉潛鳥,黑喉潜鸟,,,,
太平洋潛鳥,Pacific Loon,Gavia pacifica,太平洋潛鳥,Gavia pacifica,LC,PADI PALO,GAPA,pacloo,6931,,太平洋潛鳥,太平洋潜鸟,,,,
白嘴潛鳥,Yellow-billed Loon,Gavia adamsii,白嘴潛鳥,Gavia adamsii,NT,WBDI YBLO,GAAD,yebloo,6934,,黃嘴潛鳥,黄嘴潜鸟,,,,
黑背信天翁,Laysan Albatross,Phoebastria immutabilis,黑背信天翁,Phoebastria immutabilis,NT,LAAL,PHIM,layalb,6987,,黑背信天翁,黑背信天翁,,,,
黑腳信天翁,Black-footed Albatross,Phoebastria nigripes,黑腳信天翁,Phoebastria nigripes,NT,BFAL,PHNI,bkfalb,6988,,黑腳信天翁,黑脚信天翁,,,,
短尾信天翁,Short-tailed Albatross,Phoebastria albatrus,短尾信天翁,Phoebastria albatrus,VU,STAL,PHAL,shtalb,6990,,短尾信天翁,短尾信天翁,,,,
黃蹼洋海燕,Wilson's Storm-Petrel,Oceanites oceanicus,黃蹼洋海燕,Oceanites oceanicus,LC,WSPE WISP,OCOC,wispet,7013,,,黄蹼洋海燕,,,,
白腰叉尾海燕,Leach's Storm-Petrel,Hydrobates leucorhous,白腰叉尾海燕,Hydrobates leucorhous,VU,LSPE LESP,HYLE,lcspet,7053,,,白腰叉尾海燕,,,,
黑叉尾海燕,Swinhoe's Storm-Petrel,Hydrobates monorhis,黑叉尾海燕,Hydrobates monorhis,NT,SWSP SSPE SSTP,HYMO,swspet,7062,,黑叉尾海燕,黑叉尾海燕,,,,
